"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"ARM00087593","LA PLATA, AR","1973-03-24",,,"77",,"70"
"ARM00087593","LA PLATA, AR","1973-03-25",,,"81",,"68"
"ARM00087593","LA PLATA, AR","1973-03-27",,,"64",,
"ARM00087593","LA PLATA, AR","1973-03-28",,,"62",,"50"
"ARM00087593","LA PLATA, AR","1973-03-29",,,"71",,
"ARM00087593","LA PLATA, AR","1973-03-30",,,"74",,"57"
"ARM00087593","LA PLATA, AR","1973-03-31",,,"74",,"54"
"ARM00087593","LA PLATA, AR","1973-04-01",,,"63",,
"ARM00087593","LA PLATA, AR","1973-04-02",,,"68",,
"ARM00087593","LA PLATA, AR","1973-04-03",,,"68",,
"ARM00087593","LA PLATA, AR","1973-04-06",,,"66",,
"ARM00087593","LA PLATA, AR","1973-04-07",,,"57",,
"ARM00087593","LA PLATA, AR","1973-04-08",,,"58",,"39"
"ARM00087593","LA PLATA, AR","1973-04-09",,,"66",,"55"
"ARM00087593","LA PLATA, AR","1973-04-10",,,"68",,
"ARM00087593","LA PLATA, AR","1973-04-11",,,"70",,"61"
"ARM00087593","LA PLATA, AR","1973-04-12",,,"64",,
"ARM00087593","LA PLATA, AR","1973-04-13",,,"63",,
"ARM00087593","LA PLATA, AR","1973-04-14",,,"63",,"55"
"ARM00087593","LA PLATA, AR","1973-04-15",,,"60",,
"ARM00087593","LA PLATA, AR","1973-04-16",,,"56",,"41"
"ARM00087593","LA PLATA, AR","1973-04-17",,,"64",,
"ARM00087593","LA PLATA, AR","1973-04-18",,,"65",,
"ARM00087593","LA PLATA, AR","1973-04-19",,,"61",,"52"
"ARM00087593","LA PLATA, AR","1973-04-20",,,"64",,
"ARM00087593","LA PLATA, AR","1973-04-22",,,"66",,"54"
"ARM00087593","LA PLATA, AR","1973-04-23",,,"67",,
"ARM00087593","LA PLATA, AR","1973-04-24",,,"66",,"64"
"ARM00087593","LA PLATA, AR","1973-04-25",,,"64",,
"ARM00087593","LA PLATA, AR","1973-04-26",,,"63",,
"ARM00087593","LA PLATA, AR","1973-04-27",,,"59",,
"ARM00087593","LA PLATA, AR","1973-04-28",,,"65",,
"ARM00087593","LA PLATA, AR","1973-04-29",,,"58",,"45"
"ARM00087593","LA PLATA, AR","1973-04-30",,,"60",,
"ARM00087593","LA PLATA, AR","1973-05-01",,,"63",,
"ARM00087593","LA PLATA, AR","1973-05-02",,,"48",,
"ARM00087593","LA PLATA, AR","1973-05-03",,,"49",,"32"
"ARM00087593","LA PLATA, AR","1973-05-04",,,"54",,
"ARM00087593","LA PLATA, AR","1973-05-05",,,"62",,
"ARM00087593","LA PLATA, AR","1973-05-06",,,"57",,"50"
"ARM00087593","LA PLATA, AR","1973-05-07",,,"53",,"37"
"ARM00087593","LA PLATA, AR","1973-05-08",,,"58",,
"ARM00087593","LA PLATA, AR","1973-05-09",,,"57",,
"ARM00087593","LA PLATA, AR","1973-05-10",,,"54",,"45"
"ARM00087593","LA PLATA, AR","1973-05-11",,,"47",,
"ARM00087593","LA PLATA, AR","1973-05-12",,,"53",,
"ARM00087593","LA PLATA, AR","1973-05-13",,,"55",,
"ARM00087593","LA PLATA, AR","1973-05-14",,,"57",,"41"
"ARM00087593","LA PLATA, AR","1973-05-15",,,"63",,
"ARM00087593","LA PLATA, AR","1973-05-16",,,"60",,
"ARM00087593","LA PLATA, AR","1973-05-17",,,"51",,
"ARM00087593","LA PLATA, AR","1973-05-18",,,"54",,
"ARM00087593","LA PLATA, AR","1973-05-19",,,"62",,
"ARM00087593","LA PLATA, AR","1973-05-20",,,"64",,"57"
"ARM00087593","LA PLATA, AR","1973-05-21",,,"57",,
"ARM00087593","LA PLATA, AR","1973-05-22",,,"54",,
"ARM00087593","LA PLATA, AR","1973-05-23",,,"58",,
"ARM00087593","LA PLATA, AR","1973-05-25",,,"60",,
"ARM00087593","LA PLATA, AR","1973-05-26",,,"59",,"54"
"ARM00087593","LA PLATA, AR","1973-05-27",,,"64",,
"ARM00087593","LA PLATA, AR","1973-05-28",,,"51",,"45"
"ARM00087593","LA PLATA, AR","1973-05-29",,,"59",,
"ARM00087593","LA PLATA, AR","1973-05-30",,,"60",,
"ARM00087593","LA PLATA, AR","1973-05-31",,,"55",,
"ARM00087593","LA PLATA, AR","1973-06-01","0.00",,"62",,"52"
"ARM00087593","LA PLATA, AR","1973-06-02","0.00",,"62",,"57"
"ARM00087593","LA PLATA, AR","1973-06-03",,,"58",,
"ARM00087593","LA PLATA, AR","1973-06-04","0.00",,"64",,"54"
"ARM00087593","LA PLATA, AR","1973-06-05","0.00",,"62",,
"ARM00087593","LA PLATA, AR","1973-06-06","0.08",,"57",,
"ARM00087593","LA PLATA, AR","1973-06-07","0.02",,"62",,"59"
"ARM00087593","LA PLATA, AR","1973-06-08","2.09",,"65",,"63"
"ARM00087593","LA PLATA, AR","1973-06-11","0.00",,"58",,
"ARM00087593","LA PLATA, AR","1973-06-12","0.67",,"57",,"55"
"ARM00087593","LA PLATA, AR","1973-06-13","0.00",,"54",,
"ARM00087593","LA PLATA, AR","1973-06-15",,,"56",,
"ARM00087593","LA PLATA, AR","1973-06-16",,,"55",,
"ARM00087593","LA PLATA, AR","1973-06-18","0.00",,"42",,"36"
"ARM00087593","LA PLATA, AR","1973-06-19",,,"49",,
"ARM00087593","LA PLATA, AR","1973-06-20",,,"59",,
"ARM00087593","LA PLATA, AR","1973-06-21","0.00",,"54",,"43"
"ARM00087593","LA PLATA, AR","1973-06-22",,,"53",,
"ARM00087593","LA PLATA, AR","1973-06-23",,,"52",,
"ARM00087593","LA PLATA, AR","1973-06-24","0.00",,"44",,
"ARM00087593","LA PLATA, AR","1973-06-25",,,"46",,
"ARM00087593","LA PLATA, AR","1973-06-26",,,"47",,"43"
"ARM00087593","LA PLATA, AR","1973-06-27",,,"45",,
"ARM00087593","LA PLATA, AR","1973-06-28","0.04",,"40",,"36"
"ARM00087593","LA PLATA, AR","1973-06-29","0.00",,"53",,
"ARM00087593","LA PLATA, AR","1973-07-02",,,"51",,
"ARM00087593","LA PLATA, AR","1973-07-03","0.00",,"46",,"43"
"ARM00087593","LA PLATA, AR","1973-07-04",,,"49",,
"ARM00087593","LA PLATA, AR","1973-07-06",,,"53",,
"ARM00087593","LA PLATA, AR","1973-07-07",,,"58",,
"ARM00087593","LA PLATA, AR","1973-07-10",,,"47",,
"ARM00087593","LA PLATA, AR","1973-07-11",,,"56",,
"ARM00087593","LA PLATA, AR","1973-07-12","0.35",,"52",,
"ARM00087593","LA PLATA, AR","1973-08-09",,,"51",,
"ARM00087593","LA PLATA, AR","1973-08-10","0.00",,"48",,"32"
"ARM00087593","LA PLATA, AR","1973-08-16","0.00",,"60",,"46"
"ARM00087593","LA PLATA, AR","1973-08-17","0.00",,"56",,"48"
"ARM00087593","LA PLATA, AR","1973-08-18","0.00",,"56",,"32"
"ARM00087593","LA PLATA, AR","1973-08-19",,,"55",,
"ARM00087593","LA PLATA, AR","1973-08-20",,,"50",,
"ARM00087593","LA PLATA, AR","1973-08-21",,,"48",,
"ARM00087593","LA PLATA, AR","1973-08-22",,,"51",,
"ARM00087593","LA PLATA, AR","1973-08-25",,,"49",,
"ARM00087593","LA PLATA, AR","1973-08-26","0.00",,"52",,"39"
"ARM00087593","LA PLATA, AR","1973-08-27","0.00",,"58",,"41"
"ARM00087593","LA PLATA, AR","1973-08-28","0.00",,"58",,"48"
"ARM00087593","LA PLATA, AR","1973-08-30","0.00",,"55",,"39"
"ARM00087593","LA PLATA, AR","1973-08-31",,,"68",,
"ARM00087593","LA PLATA, AR","1973-09-01",,,"67",,
"ARM00087593","LA PLATA, AR","1973-09-02","0.00",,"65",,"52"
"ARM00087593","LA PLATA, AR","1973-09-03",,,"66",,
"ARM00087593","LA PLATA, AR","1973-09-04",,,"61",,
"ARM00087593","LA PLATA, AR","1973-09-06",,,"53",,
"ARM00087593","LA PLATA, AR","1973-09-07","0.00",,"45",,"28"
"ARM00087593","LA PLATA, AR","1973-09-08","0.00",,"51",,"45"
"ARM00087593","LA PLATA, AR","1973-09-09",,,"58",,
"ARM00087593","LA PLATA, AR","1973-09-11",,,"60",,
"ARM00087593","LA PLATA, AR","1973-09-13","0.00",,"54",,"36"
"ARM00087593","LA PLATA, AR","1973-09-14",,,"54",,
"ARM00087593","LA PLATA, AR","1973-09-15","0.00",,"50",,"32"
"ARM00087593","LA PLATA, AR","1973-09-16",,,"50",,
"ARM00087593","LA PLATA, AR","1973-09-17","0.00",,"47",,
"ARM00087593","LA PLATA, AR","1973-09-19",,,"56",,
"ARM00087593","LA PLATA, AR","1973-09-20","0.00",,"60",,"41"
"ARM00087593","LA PLATA, AR","1973-09-21",,,"59",,
"ARM00087593","LA PLATA, AR","1973-09-24",,,"71",,
"ARM00087593","LA PLATA, AR","1973-09-28",,,"48",,
"ARM00087593","LA PLATA, AR","1973-09-29","0.00",,"52",,
"ARM00087593","LA PLATA, AR","1973-09-30",,,"57",,
"ARM00087593","LA PLATA, AR","1973-10-01",,,"64",,
"ARM00087593","LA PLATA, AR","1973-10-02","0.00",,"65",,
"ARM00087593","LA PLATA, AR","1973-10-07","0.04",,"60",,"46"
"ARM00087593","LA PLATA, AR","1973-10-08","0.00",,"61",,"48"
"ARM00087593","LA PLATA, AR","1973-10-09","0.00",,"68",,"57"
"ARM00087593","LA PLATA, AR","1973-10-10",,,"58",,
"ARM00087593","LA PLATA, AR","1973-10-11",,,"60",,
"ARM00087593","LA PLATA, AR","1973-10-12","0.00",,"56",,"45"
"ARM00087593","LA PLATA, AR","1973-10-13",,,"63",,
"ARM00087593","LA PLATA, AR","1973-10-14",,,"68",,
"ARM00087593","LA PLATA, AR","1973-10-15",,,"68",,
"ARM00087593","LA PLATA, AR","1973-10-16",,,"66",,
"ARM00087593","LA PLATA, AR","1973-10-17","0.00",,"65",,"57"
"ARM00087593","LA PLATA, AR","1973-10-18",,,"62",,
"ARM00087593","LA PLATA, AR","1973-10-19","0.00",,"67",,"59"
"ARM00087593","LA PLATA, AR","1973-10-20","0.00",,"64",,"57"
"ARM00087593","LA PLATA, AR","1973-10-22",,,"64",,
"ARM00087593","LA PLATA, AR","1973-10-26","0.00",,"60",,"50"
"ARM00087593","LA PLATA, AR","1973-10-29",,,"59",,
"ARM00087593","LA PLATA, AR","1973-10-30",,,"51",,
"ARM00087593","LA PLATA, AR","1973-10-31","0.39",,"56",,
"ARM00087593","LA PLATA, AR","1973-11-01","0.28",,"54",,"34"
"ARM00087593","LA PLATA, AR","1973-11-02","0.00",,"55",,
"ARM00087593","LA PLATA, AR","1973-11-03","0.00",,"60",,"39"
"ARM00087593","LA PLATA, AR","1973-11-04",,,"62",,
"ARM00087593","LA PLATA, AR","1973-11-05","0.00",,"62",,"45"
"ARM00087593","LA PLATA, AR","1973-11-06","0.00",,"63",,"55"
"ARM00087593","LA PLATA, AR","1973-11-07","0.00",,"56",,"41"
"ARM00087593","LA PLATA, AR","1973-11-08",,,"63",,
"ARM00087593","LA PLATA, AR","1973-11-09","0.00",,"62",,"48"
"ARM00087593","LA PLATA, AR","1973-11-11","0.00",,"62",,"48"
"ARM00087593","LA PLATA, AR","1973-11-12",,,"65",,
"ARM00087593","LA PLATA, AR","1973-11-14",,,"67",,
"ARM00087593","LA PLATA, AR","1973-11-15","0.00",,"72",,
"ARM00087593","LA PLATA, AR","1973-11-17",,,"59",,
"ARM00087593","LA PLATA, AR","1973-11-18",,,"67",,
"ARM00087593","LA PLATA, AR","1973-11-19","0.00",,"73",,"46"
"ARM00087593","LA PLATA, AR","1973-11-20",,,"68",,
"ARM00087593","LA PLATA, AR","1973-11-22","0.04",,"78",,"64"
"ARM00087593","LA PLATA, AR","1973-11-23","0.71",,"66",,"61"
"ARM00087593","LA PLATA, AR","1973-11-24","0.00",,"59",,
"ARM00087593","LA PLATA, AR","1973-11-25",,,"68",,
"ARM00087593","LA PLATA, AR","1973-11-26",,,"76",,
"ARM00087593","LA PLATA, AR","1973-11-27","0.00",,"61",,"45"
"ARM00087593","LA PLATA, AR","1973-11-28","0.00",,"72",,"55"
"ARM00087593","LA PLATA, AR","1973-11-29","0.00",,"75",,"64"
"ARM00087593","LA PLATA, AR","1973-11-30","0.00",,"68",,
"ARM00087593","LA PLATA, AR","1973-12-01","0.00",,"71",,"57"
"ARM00087593","LA PLATA, AR","1973-12-02",,,"67",,
"ARM00087593","LA PLATA, AR","1973-12-03",,,"68",,
"ARM00087593","LA PLATA, AR","1973-12-04",,,"67",,
"ARM00087593","LA PLATA, AR","1973-12-05","0.04",,"62",,"57"
"ARM00087593","LA PLATA, AR","1973-12-06","0.02",,"63",,"57"
"ARM00087593","LA PLATA, AR","1973-12-07","0.00",,"64",,"57"
"ARM00087593","LA PLATA, AR","1973-12-08",,,"66",,
"ARM00087593","LA PLATA, AR","1973-12-09","0.00",,"70",,"55"
"ARM00087593","LA PLATA, AR","1973-12-10","0.12",,"72",,
"ARM00087593","LA PLATA, AR","1973-12-11","0.00",,"60",,
"ARM00087593","LA PLATA, AR","1973-12-12",,,"74",,
"ARM00087593","LA PLATA, AR","1973-12-13","0.08",,"73",,"66"
"ARM00087593","LA PLATA, AR","1973-12-15","0.00",,"73",,"64"
"ARM00087593","LA PLATA, AR","1973-12-16","0.00",,"72",,"54"
"ARM00087593","LA PLATA, AR","1973-12-18","0.39",,"74",,"61"
"ARM00087593","LA PLATA, AR","1973-12-19","0.00",,"74",,
"ARM00087593","LA PLATA, AR","1973-12-20",,,"79",,
"ARM00087593","LA PLATA, AR","1973-12-21","0.00",,"80",,"66"
"ARM00087593","LA PLATA, AR","1973-12-22",,,"73",,
"ARM00087593","LA PLATA, AR","1973-12-23",,,"78",,
"ARM00087593","LA PLATA, AR","1973-12-24",,,"74",,
"ARM00087593","LA PLATA, AR","1973-12-25",,,"71",,
"ARM00087593","LA PLATA, AR","1973-12-26","0.24",,"74",,"66"
"ARM00087593","LA PLATA, AR","1973-12-27","0.00",,"80",,
"ARM00087593","LA PLATA, AR","1973-12-28","0.24",,"83",,"66"
"ARM00087593","LA PLATA, AR","1973-12-29","0.00",,"81",,
"ARM00087593","LA PLATA, AR","1974-01-03",,,"83",,
"ARM00087593","LA PLATA, AR","1974-01-04","0.00",,"84",,"72"
"ARM00087593","LA PLATA, AR","1974-01-05",,,"76",,
"ARM00087593","LA PLATA, AR","1974-01-06","0.00",,"67",,"54"
"ARM00087593","LA PLATA, AR","1974-01-09","0.00",,"79",,"64"
"ARM00087593","LA PLATA, AR","1974-01-10",,,"78",,
"ARM00087593","LA PLATA, AR","1974-01-11",,,"74",,
"ARM00087593","LA PLATA, AR","1974-01-12",,,"76",,
"ARM00087593","LA PLATA, AR","1974-01-13","0.00",,"81",,"72"
"ARM00087593","LA PLATA, AR","1974-01-14","0.00",,"73",,"55"
"ARM00087593","LA PLATA, AR","1974-01-15",,,"74",,
"ARM00087593","LA PLATA, AR","1974-01-16",,,"81",,
"ARM00087593","LA PLATA, AR","1974-01-17",,,"91",,
"ARM00087593","LA PLATA, AR","1974-01-18",,,"77",,
"ARM00087593","LA PLATA, AR","1974-01-19",,,"91",,
"ARM00087593","LA PLATA, AR","1974-01-20",,,"79",,
"ARM00087593","LA PLATA, AR","1974-01-23","0.00",,"70",,"57"
"ARM00087593","LA PLATA, AR","1974-01-24",,,"71",,
"ARM00087593","LA PLATA, AR","1974-01-25",,,"72",,
"ARM00087593","LA PLATA, AR","1974-01-26",,,"75",,
"ARM00087593","LA PLATA, AR","1974-01-28",,,"73",,
"ARM00087593","LA PLATA, AR","1974-01-29",,,"76",,
"ARM00087593","LA PLATA, AR","1974-01-30","0.00",,"80",,
"ARM00087593","LA PLATA, AR","1974-02-03",,,"71",,
"ARM00087593","LA PLATA, AR","1974-02-04","0.47",,"82",,"64"
"ARM00087593","LA PLATA, AR","1974-02-05","0.00",,"72",,"64"
"ARM00087593","LA PLATA, AR","1974-02-06","0.02",,"75",,
"ARM00087593","LA PLATA, AR","1974-02-07","0.00",,"69",,
"ARM00087593","LA PLATA, AR","1974-02-12",,,"68",,
"ARM00087593","LA PLATA, AR","1974-02-13",,,"70",,
"ARM00087593","LA PLATA, AR","1974-02-14","0.00",,"69",,"50"
"ARM00087593","LA PLATA, AR","1974-02-15",,,"68",,
"ARM00087593","LA PLATA, AR","1974-02-17",,,"72",,
"ARM00087593","LA PLATA, AR","1974-02-18","0.00",,"74",,"59"
"ARM00087593","LA PLATA, AR","1974-02-19",,,"74",,
"ARM00087593","LA PLATA, AR","1974-02-20","0.00",,"68",,"54"
"ARM00087593","LA PLATA, AR","1974-02-21","0.00",,"67",,"55"
"ARM00087593","LA PLATA, AR","1974-02-22","0.00",,"69",,"52"
"ARM00087593","LA PLATA, AR","1974-02-23","0.00",,"75",,"57"
"ARM00087593","LA PLATA, AR","1974-02-24","0.00",,"72",,"61"
"ARM00087593","LA PLATA, AR","1974-02-25",,,"76",,
"ARM00087593","LA PLATA, AR","1974-02-26",,,"76",,
"ARM00087593","LA PLATA, AR","1974-02-27","0.00",,"75",,"68"
"ARM00087593","LA PLATA, AR","1974-02-28","0.12",,"73",,"66"
"ARM00087593","LA PLATA, AR","1974-03-01","0.00",,"79",,
"ARM00087593","LA PLATA, AR","1974-03-02",,,"69",,
"ARM00087593","LA PLATA, AR","1974-03-03",,,"69",,
"ARM00087593","LA PLATA, AR","1974-03-06","0.00",,"74",,"64"
"ARM00087593","LA PLATA, AR","1974-03-09","0.31",,"74",,
"ARM00087593","LA PLATA, AR","1974-03-10","0.00",,"76",,"59"
"ARM00087593","LA PLATA, AR","1974-03-11",,,"71",,
"ARM00087593","LA PLATA, AR","1974-03-12","0.00",,"73",,"64"
"ARM00087593","LA PLATA, AR","1974-03-13",,,"71",,
"ARM00087593","LA PLATA, AR","1974-03-14",,,"74",,
"ARM00087593","LA PLATA, AR","1974-03-15","0.47",,"64",,"57"
"ARM00087593","LA PLATA, AR","1974-03-16","0.00",,"54",,
"ARM00087593","LA PLATA, AR","1974-03-17","0.00",,"69",,"50"
"ARM00087593","LA PLATA, AR","1974-03-18","0.00",,"70",,"55"
"ARM00087593","LA PLATA, AR","1974-03-19","0.00",,"72",,"52"
"ARM00087593","LA PLATA, AR","1974-03-21",,,"73",,
"ARM00087593","LA PLATA, AR","1974-03-22",,,"74",,
"ARM00087593","LA PLATA, AR","1974-03-23",,,"72",,
"ARM00087593","LA PLATA, AR","1974-03-29","0.00",,"68",,"52"
"ARM00087593","LA PLATA, AR","1974-03-30","0.08",,"71",,"55"
"ARM00087593","LA PLATA, AR","1974-04-02",,,"78",,
"ARM00087593","LA PLATA, AR","1974-04-03","0.00",,"74",,"64"
"ARM00087593","LA PLATA, AR","1974-04-04","0.12",,"65",,"59"
"ARM00087593","LA PLATA, AR","1974-04-09",,,"66",,
"ARM00087593","LA PLATA, AR","1974-04-10","0.00",,"64",,"45"
"ARM00087593","LA PLATA, AR","1974-04-11",,,"71",,
"ARM00087593","LA PLATA, AR","1974-04-12",,,"74",,
"ARM00087593","LA PLATA, AR","1974-04-13",,,"78",,
"ARM00087593","LA PLATA, AR","1974-04-14",,,"72",,
"ARM00087593","LA PLATA, AR","1974-04-15","0.00",,"73",,"64"
"ARM00087593","LA PLATA, AR","1974-04-16",,,"73",,
"ARM00087593","LA PLATA, AR","1974-04-17","0.00",,"71",,"64"
"ARM00087593","LA PLATA, AR","1974-04-18","0.00",,"57",,"54"
"ARM00087593","LA PLATA, AR","1974-04-19",,,"58",,
"ARM00087593","LA PLATA, AR","1974-04-20","0.00",,"58",,"43"
"ARM00087593","LA PLATA, AR","1974-04-21",,,"68",,
"ARM00087593","LA PLATA, AR","1974-04-23",,,"55",,
"ARM00087593","LA PLATA, AR","1974-04-24","0.00",,"65",,
"ARM00087593","LA PLATA, AR","1974-04-25",,,"58",,
"ARM00087593","LA PLATA, AR","1974-04-26","0.00",,"54",,"36"
"ARM00087593","LA PLATA, AR","1974-04-27","0.00",,"58",,"39"
"ARM00087593","LA PLATA, AR","1974-04-29",,,"62",,
"ARM00087593","LA PLATA, AR","1974-05-01","0.00",,"60",,"43"
"ARM00087593","LA PLATA, AR","1974-05-02",,,"69",,
"ARM00087593","LA PLATA, AR","1974-05-03","0.00",,"57",,"45"
"ARM00087593","LA PLATA, AR","1974-05-05",,,"56",,
"ARM00087593","LA PLATA, AR","1974-05-06",,,"62",,
"ARM00087593","LA PLATA, AR","1974-05-07","0.00",,"60",,"57"
"ARM00087593","LA PLATA, AR","1974-05-08",,,"58",,
"ARM00087593","LA PLATA, AR","1974-05-09","0.00",,"60",,"46"
"ARM00087593","LA PLATA, AR","1974-05-10","0.00",,"59",,
"ARM00087593","LA PLATA, AR","1974-05-11",,,"65",,
"ARM00087593","LA PLATA, AR","1974-05-12","0.43",,"60",,"59"
"ARM00087593","LA PLATA, AR","1974-05-13","0.00",,"56",,"46"
"ARM00087593","LA PLATA, AR","1974-05-16",,,"63",,
"ARM00087593","LA PLATA, AR","1974-05-19",,,"56",,
"ARM00087593","LA PLATA, AR","1974-05-20",,,"63",,
"ARM00087593","LA PLATA, AR","1974-05-24","0.01",,"55",,"54"
"ARM00087593","LA PLATA, AR","1974-05-26",,,"61",,
"ARM00087593","LA PLATA, AR","1974-05-27",,,"61",,
"ARM00087593","LA PLATA, AR","1974-05-28",,,"59",,"57"
"ARM00087593","LA PLATA, AR","1974-05-29",,,"60",,
"ARM00087593","LA PLATA, AR","1974-05-30",,,"59",,
"ARM00087593","LA PLATA, AR","1974-05-31",,,"58",,
"ARM00087593","LA PLATA, AR","1974-06-03",,,"52",,
"ARM00087593","LA PLATA, AR","1974-06-04",,,"53",,
"ARM00087593","LA PLATA, AR","1974-06-05",,,"50",,
"ARM00087593","LA PLATA, AR","1974-06-07","0.20",,"51",,"41"
"ARM00087593","LA PLATA, AR","1974-06-08","0.00",,"55",,"43"
"ARM00087593","LA PLATA, AR","1974-06-09","0.00",,"51",,"39"
"ARM00087593","LA PLATA, AR","1974-06-10","0.00",,"55",,"45"
"ARM00087593","LA PLATA, AR","1974-06-11","0.00",,"43",,"34"
"ARM00087593","LA PLATA, AR","1974-06-12","0.00",,"40",,"32"
"ARM00087593","LA PLATA, AR","1974-06-13","0.00",,"43",,"27"
"ARM00087593","LA PLATA, AR","1974-06-14","0.00",,"45",,
"ARM00087593","LA PLATA, AR","1974-06-15","0.00",,"43",,"27"
"ARM00087593","LA PLATA, AR","1974-06-16",,,"46",,
"ARM00087593","LA PLATA, AR","1974-06-17","0.00",,"36",,"25"
"ARM00087593","LA PLATA, AR","1974-06-18","0.00",,"47",,"39"
"ARM00087593","LA PLATA, AR","1974-06-19","0.00",,"51",,"45"
